KEY,FR,ENG,COR
AXE_001,"Hé ! Tu es le nouveau, n'est-ce pas ?",Hey ! You're the new one ain't ya ?,Corentin !
AXE_002,"Je m'appelle Albert Axeman, avec plaisir.","My name's Albert Axeman, pleasure.",Corentin !
AXE_003,"Dis-moi, qu'est-ce qui t'amène dans un endroit merdique comme celui-ci ?","Tell me, what's bringing you in a shitty place like this ?",Corentin !
AXE_004,"Ok, je m'excuse le nouveau, je ne voulais pas être intrusif.","Ok, my bad newcomer,didn't mean to be intrusive.",Corentin !
AXE_005,J'espère que tu sers mieux les boissons que tu ne parles. Sers moi un whisky.,I hope you serve drinks better than you talk. Give me a whisky.,Corentin !
AXE_006,"Haha, tu ne le dis pas, j'ai l'impression de me démener comme un fou depuis ma naissance !","Haha, you don't say, it feels like I've been working my ass off since my birth!",Corentin !
AXE_007,"Sers moi un whisky ici, s'il te plaît, j'ai besoin de me rafraîchir.","Throw me a whisky up here please, I need refreshment.",Corentin !
AXE_008,"Une opportunité ? Il n'y a aucune opportunité ici, sauf celle de gâcher sa vie.","An opportunity ? Ain't no opportunity up here, except one of throwing your life away.",Corentin !
AXE_009,"En parlant de ça, sers moi un whisky, s'il te plaît.","Speaking about it, get me a whisky please.",Corentin !
AXE_010,"Eh bien, pourquoi pas, mais je crois qu'il me faut quelque chose de plus ""percutant"", sers moi un whisky.","Well, why not, but I think I need something more punchy, give me a whisky.",Corentin !
AXE_011,"Aaaah, beaucoup mieux ! Juste ce qu'il me fallait après une journée de merde comme celle-ci.","Aaaah, much better ! Just what I needed after a shitty day like this.",Corentin !
AXE_012,"Pouah ! C'est de la vodka mec. Putain, c'est dégoûtant comme pisse polonaise.","Pouah ! that's some vodka boy. damn, disgusting polish piss.",Corentin !
AXE_013,"Vous avez besoin de vous chopper du vrai alcool, les gars.",You guys need to get real booze.,Corentin !
AXE_014,"Je ne peux pas parler avec la gorge sèche comme ça, donne-moi juste mon whisky maintenant.","I can't speak with a sour throat like that, just give me my whisky already.",Corentin !
AXE_015,"Oublie ça, donne-moi juste mon whisky.","Forget about it, just give me my whisky.",Corentin !
AXE_016,"Je te l'dis mec, le pire, c'est que mon collègue a dormi toute la journée à la ferme.","I tell you man, the worst, my coworker just snoozed all day at the farm.",Corentin !
AXE_017,"C'est habituel chez lui, mais ce n'est pas le moment de m'énerver.","It's usual with him, but now is not the period to piss me off.",Corentin !
AXE_018,"Il n'y a pas grand chose à dire en fait, juste une bande de pauvres fils de pute comme moi.","Nothing much to say really, just a bunch of poor motherfuckers just like me.",Corentin !
AXE_019,"Méfiez-vous de celui qui s'appelle Phil, c'est un vrai crétin.","Be warry of the one named Phil, he's a real jackass.",Corentin !
AXE_020,Il passe ses journées à courir après les femmes ou à jouer aux cartes.,He spends his days chasing women or playing cards.,Corentin !
AXE_021,"Tout le monde pense qu'il est cool, mais en réalité, il n'est qu'un psychopathe sans vergogne.","Everybody thinks he's cool, but really he's just a shameless psychopath.",Corentin !
AXE_022,"Tous les locaux ici sont de vrais connards, je vous le dis.",All the locals here are real fuckers I tell you.,Corentin !
AXE_023,"Surtout mon ex-femme, Linda, cette méchante sorcière.","Especially my ex wife, Linda, that mean witch.",Corentin !
AXE_024,"Elle ne respecte tout simplement pas un homme, peu importe à quel point il travaille dur pour elle.","She simply doesn't respect a man, no matter how hard he works his ass of for her.",Corentin !
AXE_025,"Elle allait partout, trompait et buvait avec des hommes, j'en avais marre d'elle.","Going everywhere, cheating and drinking with men, I was sick of her.",Corentin !
AXE_026,Mais vous savez sûrement ce que je veux dire.,But you surely know what I mean.,Corentin !
AXE_027,"Lenny, tu le vois peut-être dans le coin, la seule chose qu'il aime plus que faire la sieste, c'est boire.","Lenny, you might see him around, the only thing he likes more than napping is drinking.",Corentin !
AXE_028,"Mais attention, il ne supporte pas l'alcool, et a une mauvaise barrière morale.","But be careful, he can't stand his alcool, and has poor moral barrier.",Corentin !
AXE_029,Cela finit souvent par être un vrai désastre quand il boit trop.,It often ends up bloody messy when he drinks to much.,Corentin !
AXE_030,"Il n'y a pas grand chose à dire sur lui, mais il est dangereux, crois-moi.","Nothing much to say about him, but he's dangerous, trust me.",Corentin !
AXE_031,"Ferme-la, bon sang ! Je pourrais jamais être jaloux de ce satané crétin.",Shut the hell up ! the fuck I could be jealous about that damn moron.,Corentin !
AXE_032,Il ne pourrait même pas planter une carotte si je le faisais pour lui.,He couldn't even plant a carrot if I was doing it for him.,Corentin !
AXE_033,"Mais j'ai un mauvais pressentiment à son sujet, je crois qu'il prépare quelque chose.","But I have a bad feeling concerning him, I think he might be up to something.",Corentin !
AXE_034,"Tais-toi... *hic* ce salaud m'a volé ma femme, c'est un *hic* j'aimerais pouvoir le tuer.","Shut up... *hips* that bastard stole my wife, he's a  *hips* I wish I could kill him.",Corentin !
AXE_035,"Il aura ce qu'il mérite un jour, que Dieu m'aide.","He's gonna have what he deserve one day, god helps me.",Corentin !
AXE_036,"Peut-être que je ne devrais pas, je ne te connais pas encore assez.","Maybe I shouldn't ,I don't know you enough yet.",Corentin !
AXE_037,Je ne suis pas vraiment d'humeur à le faire pour être honnête. Je suis un peu trop sobre pour pleurer sur ton épaule.,I'm not quite in the mood for this to be honest. I'm a little too sober to cry on your shoulder.,Corentin !
AXE_038,"Pfffff, rien à dire, elle m'a quitté pour un connard nommé Phil, et maintenant je les vois souvent ensemble au bar...","Pfffff, nothing much to say, she left me for some jerk named Phil, and now I gotta see them together at the bar quite often...",Corentin !
AXE_039,"Je sais que j'ai merdé en flirtant avec la barmaid précédente, mais je ne méritais pas ça, n'est-ce pas ?","I know I fucked up by flirting with the previous barmaid, but I didn't deserve this, did I ?",Corentin !
AXE_040,"Eh bien, ne le faites pas trop boire, c'est tout.","Well, just don't make him drink too much that's all.",Corentin !
AXE_041,"Il n'a pas de filtre, donc quand il veut faire quelque chose, il le fait.","He doesn't have no filter, so when he wants to do something he's going to do it.",Corentin !
AXE_042,"Le garçon n'avait pas d'argent. Il y a deux ans, il a épousé une vieille femme riche.","The lad had no money. 2 years ago, he married a rich old woman.",Corentin !
